Column 1,Mitra 1,Mitra 2,Judul Kerjasama,Dasar Hukum Mitra 1,Dasar Hukum Mitra 2,Dasar Hukum RS,Tanggal Mulai ,Tanggal Selesai,Reminder 3 Bulan,Keterangan Kerjasama,ID Acara Kalender,Email Mitra,URL,
124,RSUD Wonosari,Fakultas Kedokteran Universitas Islam Indonesia,Keputusan Bersama tentang Pencegahan dan Penanganan Perundungan terhadap Dokter Muda Fakultas Kedokteran Universitas Islam Indonesia di RSUD Wonosari,111.A/KPTS/2023,,100.3.7.1/923/102.10/2024,,Selamanya,Selamanya,Berjalan,hotchm26p877cd7lhcgbkbg6i0@google.com,"rsudwonosari06@gmail.com
fk@uii.ac.id",belum ada scan PKS,
125,RSUD Haji Prov Jatim,,Penyelenggaraan Pelatihan Perawat Penanggung Jawab Asuhan (PPJA) bagi Praktisi Kesehatan di Fasilitas Pelayanan Kesehatan P,100.3.7.1/26.265/102.9/2024,,100.3.7.1/40783/102.9/2023,24 Juli 2024,Hingga terbitnya sertifikat pelatihan,Hingga terbitnya sertifikat pelatihan,Berjalan,n70kc0t5v6ssi6rcqupmhbgqo4@google.com,tidak ada,belum ada scan PKS,
126,RSUD Haji Prov Jatim,,Penyelenggaraan Pelatihan Basic Trauma Cardiac Life Support (BTCLS) bagi Praktisi Kesehatan di Fasilitas Pelayanan Kesehatan,100.3.7.1/19683/102.9/2024,,100.3.7.1/721/102.10/2024,3 Juni 2024,Hingga terbitnya sertifikat pelatihan,Hingga terbitnya sertifikat pelatihan,Berjalan,19a0oqagj7mfi4rt08rahbrr8s@google.com,tidak ada,belum ada scan PKS,
127,Balai Monitor Spektrum Frekuensi Radio Kelas I Surabaya,,Pemanfaatan Lahan dan /atau Ruangan untuk Penempatan dan Pengoperasian Sistem Monitoring Frekuensi Radio Direktorat Jenderal Sumber Daya dan Perangkat Pos dan Informatika Balai Monitor Spektrum Frekuensi Radio Kelas I Surabaya,09.SLS.04/PPPK/BALMON.35/KU.02.06/01/2026,,100.3.7.1/146/102.9/2026,1 Januari 2026,31 Desember 2026,30 September 2026,Berjalan,f1v4dm6imrfd586rbnu5ce8mo0@google.com,upt_surabaya@postel.go.id,belum ada scan PKS,
128,PT. Bank Pembangunan Daerah Jatim Cabang Madiun,,Sewa Lokasi untuk Ruang ATM di lingkungan RSUD dr. Soedono Provinsi Jawa Timur,064/174/MDN/UM/MOU,,100.3.7.1/15795/102.9/2025,1 April 2025,01 April 2028,1 Januari 2028,Berjalan,1ql5u9h99bc4snkqsp2fkqms7s@google.com,tidak ada,belum ada scan PKS,
129,Dharma Wanita Persatuan RSSM,,Pemakaian Lahan di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur,016/DWP-RSSM/V/2025,,100.3.7.1/16358/102.9/2025,1 April 2025,31 Maret 2028,31 Desember 2027,Berjalan,jtoj9vk2svnntjkrrd8209ti3s@google.com,tidak ada,belum ada scan PKS,
130,PT Grab Teknologi Indonesia,,Pemakaian Lahan di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur,GTI/PKS/2026-01/044,,100.3.7.1/44219/102.9/2025,1 Januari 2026,31 Desember 2027,30 September 2027,Berjalan,v915fqlb6uvlqrgusbdg2nbia4@google.com,anthony.suharjono@grabtaxi.com,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/23-12-2024-1739018252-Addendum_II_PKS_Sewa_DWP_RSSM.pdf,
131,PT. Bank Pembangunan Daerah Jatim Cabang Madiun,,"Sewa Menyewa Tanah dan Bangunan untuk Keperluan Kantor 
Kas Bank Jatim di RSUD dr. Soedono Madiun",060/         /UM/MDN/MOU,,445/6.241/303/2021,1 Januari 2021,31 Desember 2025,30 September 2025,Proses Oleh TU,hb57v5fcnpiefoohus3jvon9uo@google.com,tidak ada,,
132,PT Grab Teknologi Indonesia,,Perjanjian Kerahasiaan,,,,18 Januari 2024,17 Januari 2026,17 Oktober 2025,Perlu Proses Perpanjangan,dvmenltn5p6s1118r64bhvglj0@google.com,tidak ada,,
133,PT Swakarya Sinar Sejahtera,,Pengelolaan Parkir di Lingkungan Instalasi Merpati RSUD dr. Soedono Provinsi Jawa Timur,002-SSS/PKS.06/III/2023,,"445/10,544/102,9/2023",1 Maret 2023,28 Februari 2026,28 November 2025,Berjalan,pahi1ds2h2adaojcto78q7gnjo@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/27-02-2023-1680231612-PKS_Parkir_Merpati_2023.pdf,
134,PT Swakarya Sinar Sejahtera,,Pengelolaan Parkir di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur (Parkir Irja),SSS/01-MOU/09/2022,,"445/61,481/102,9/2022",1 November 2022,31 Oktober 2026,31 Juli 2026,Berjalan,cljsklhbhk34nvqkcb1qnlje58@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-11-2022-1673857219-PKS_Parkir_Irja_PT_Swakarya_Sinar_Sejahtera.pdf,
135,PT Swakarya Sinar Sejahtera,,Addendum Pengelolaan Parkir di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur ,,,100.3.7.1/29903/102.9/2024,1 Oktober 2024,31 Oktober 2026,31 Juli 2026,Berjalan,j7fgpn1akhlqv8g8fu31mcik00@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/01-11-2022-1673857219-PKS_Parkir_Irja_PT_Swakarya_Sinar_Sejahtera.pdf,
136,Komisi Akreditasi Rumah Sakit,,Pelaksanaan Survey Akreditasi Rumah Sakit KARS,1113/Survei-KARS/XI/2022,,445/62.655/102.9/2022,5 November 2022,04 November 2026,4 Agustus 2026,Berjalan,crlbrefndmqrul6r67v30cmqto@google.com,info@kars.or.id,belum ada scan PKS,
137,KPRI Husada Sejahtera,,Pemakaian Lahan di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur,401.c/80/13.06.40  /2025,,100.3.7.1/17742/102.9/2025,1 Juni 2025,31 Mei 2027,28 Februari 2027,Berjalan,p68co9lpfke89s9darrhnnl618@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/19-05-2025-1751335852-scan_PKS_Sewa_Lahan_dengan_KPRI_Husada_Sejahtera.pdf,
138,KPRI Husada Sejahtera,,Addendum,401.a/10/13.06.40  /2026,,100.3.7.1/4228/102.9/2026,1 Februari 2026,31 Mei 2027,28 Februari 2027,Berjalan,ug7mtklksbkf96iff0ug8cm2jo@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/19-05-2025-1751335852-scan_PKS_Sewa_Lahan_dengan_KPRI_Husada_Sejahtera.pdf,
139,PT Alat Bantu Dengar Indonesia,,Pelayanan Pengadaan dan Perawatan Alat Bantu Dengar,014/PKS/ABDI-RSUDSM/VII/2024,,100.3.7.1/24618/102.9/2024,1 November 2024,31 Oktober 2027,31 Juli 2027,Berjalan,8e6on1cjdq6f1csn1tcschcqe8@google.com,tidak ada,belum ada scan PKS,
140,"KPRI ""Husada Sejahtera""",,Layanan Pengantaran Obat,401.a/71/3.06.40/2025,,100.3.7.1/12825/102.9/2025,1 April 2025,31 Maret 2028,31 Desember 2027,Berjalan,nffhb4or0retloher14hmvvm8o@google.com,tidak ada,belum ada scan PKS,
141,"KPRI ""Husada Sejahtera""",,Addendum Layanan Pengantaran Obat,401.a/20/13.06.40/2026,,100.3.7.1/7981/102.9/2026,1 Maret 2026,31 Maret 2028,31 Desember 2027,Berjalan,,tidak ada,,
142,"KPRI ""Husada Sejahtera""",,Pengelolaan Ambulans Jenazah di RSUD dr. Soedono Provinsi Jawa Timur,445/8.370/303/2020,,401.a/141/13.06.40/2025,10 Oktober 2025,9 Oktober 2028,9 Juli 2028,Berjalan,r2fgalha72dlunhh371mdn3i9c@google.com,tidak ada,belum ada scan PKS,
143,"KPRI ""Husada Sejahtera""",,Penggunaan Lahan Parkir Ambulans (Jenazah dan Pasien) di Lingkungan RSUD dr. Soedono Provinsi Jawa Timur ,401.a/06/13.06.40/2026,,100.3.7.1/904/102.9/2026,1 Februari 2026,31 Januari 2029,31 Oktober 2028,Berjalan,fpqtn00pdgns6gov4lj75hdg4k@google.com,tidak ada,https://apprssm.rssoedono.jatimprov.go.id/sipedas/assets/file_surat_kerjasama/22-03-2024-1718938472-Scan_Addendum_PKS_KPRI_Ambulans_Jenazah-1.pdf,
144,FK UII,RS Bhayangkara Polda DIY,RS Bhayangkara Polda DIY sebagai RS afiliasi FK UII,    /Dek/01/Div.Um/VIII/2022,KS/           /VII/2022/RumkitBHY,445/            /102.9/2022,29 Juli 2022,28 Juli 2022,28 April 2022,Perlu Proses Perpanjangan,htn1010jj4imav64sgjnku9t8c@google.com,fk@uii.ac.id,rumkitdiy@gmail.com,
145,Kepolisian Resort Madiun Kota,PT Jasa Raharja,Penanganan korban Kecelakaan Lalu Lintas melalui Aplikasi “TACS” (Traffic Accident Claim System),B/14/X/2020,,445/57/401.300/2020,5 Oktober 2020,04 Oktober 2022,4 Juli 2022,Perlu Proses Perpanjangan,f3i9pij7ov69kjf9pdv1o19vqs@google.com,tidak ada,,
146,RSAL Dr. Ramelan Surabaya,,Rumah Sakit Jejaring Pendidikan,"1692/XII/2019
B/1225/UHT.130.03/XII/2019",,445/38.780/303/2019,3 Desember 2019,02 Desember 2022,2 September 2022,Tidak Diperpanjang,jqhj8tt7df1n47i7qj74dmr8bc@google.com,tidak ada,,
147,Badan Kepegawaian dan Pengembangan Sumber Daya Manusia Pemerintah Kota Madiun,BKPSDM Kota Madiun,Penyelenggaraan Magang Krja / On The Job Training (OJT) Aparatur Sipil Negara Di Lingkungan Pemerintah Kota Madiun Tahun Anggaran 2024,"800/306/401,201/2024",,100.3.7.1/7.990/102.9/2024,5 Maret 2024,31/12/2024,30 September 2024,Tidak Diperpanjang,v2qanqdkr8ikneiptanl5cnunc@google.com,madiunkota.bkd@gmail.com,"bkpsdm@madiunkota.go.id
",
